Time,Vm,Cai
505.812425412354,9.61181791527777,0.000106088130414605
505.906809353902,10.6895795791055,0.000107477132418817
506.00119329545,11.698328102537,0.000108805390558902
506.126380824928,12.9368443714622,0.00011048120299137
506.251568354406,14.071653173327,0.00011206995872078
506.376755883883,15.1133918410169,0.000113583800870399
506.501943413361,16.0720623570017,0.000115034273695063
506.627130942839,16.9566496213937,0.000116431813503322
506.752318472317,17.7749775323711,0.000117785518991437
506.914914325903,18.7497083004269,0.000119490783837869
507.077510179489,19.6355837244822,0.000121148434091489
507.209753362348,20.2969601720098,0.000122468607719093
507.341996545207,20.9096312850153,0.000123768215885411
507.474239728067,21.4769074840719,0.000125050544023181
507.606482910926,22.0015864055262,0.000126318142693926
507.738726093785,22.4861157648442,0.000127573018186783
507.841899728209,22.8376903727587,0.000128544264083764
507.945073362633,23.1671945678473,0.000129509429708122
508.048246997057,23.4756020987294,0.000130469108594848
508.151420631481,23.7638571024652,0.000131423828514554
508.254594265904,24.0328860262788,0.000132374070003954
508.357767900328,24.283604802475,0.000133320279798746
508.513023277997,24.6283674948165,0.000134737446113347
508.668278655666,24.9367550237228,0.000136147743698854
508.823534033334,25.2117377822217,0.000137552382179228
508.978789411003,25.4561978021059,0.000138952464944712
509.134044788672,25.6729137466261,0.000140348997481178
509.289300166341,25.864546563708,0.00014174289276484
509.444555544009,26.0336253886488,0.000143134972479395
509.718734751157,26.2843513299925,0.000145591129751217
509.992913958305,26.4840926755625,0.000148047243527931
510.267093165453,26.6433628869055,0.000150505918671359
510.541272372601,26.7711948517759,0.000152969063959793
510.815451579749,26.8752230690754,0.000155437977760276
511.089630786897,26.9618060105843,0.000157913434576907
511.405897123647,27.0467859776999,0.00016077743410309
511.722163460398,27.1218321007975,0.000163650509107266
512.038429797148,27.1917938629137,0.000166532094383157
512.354696133898,27.260272360854,0.000169421257215504
512.670962470648,27.3298504528618,0.000172316798090533
512.987228807399,27.4022918170459,0.000175217332794315
513.441567920957,27.5135526404771,0.000179389892096038
513.895907034516,27.6345235872954,0.000183564993733888
514.350246148074,27.7652676873615,0.000187737914735655
514.804585261632,27.9049562154021,0.000191904046252695
515.258924375191,28.0522168564381,0.00019605895906442
515.713263488749,28.2053566993251,0.000200198422821545
